S,D1,D2,D3,D4,D5,D6,D7,C
R,20.02,22.37,21.5,42.33,14.79,43.38,18.53,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
F,0,0,0,0,16.43,0,0,N
R,0,0,9.2,0,0,0,0.76,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,694.4,336.95,311.4,0,0,0,0,N
R,45.18,0,26.86,0,0,0,0,N
R,0,1843.45,0,0,0,0,0,N
R,0,3.09,0.22,0,4.85,0,0,N
R,0,0,0,0,0,0,0,Y
PF,0,0,0,0,0,0,0,Y
R,74.93,0,0,700.74,126.44,900.75,408.69,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,3.98,16.77,16.27,0,N
R,1142.14,4677.28,0,0,1933.32,10625.5,0,N
R,314.18,1445.91,610.32,0,0,0,943.99,N
F,1.5,16.48,55.49,1.5,0,0,0,N
R,98.71,2846.99,2784.42,3202.67,3623.88,8954.27,3774.75,N
R,11.21,19.26,16.17,7.35,19.29,35.9,21.21,N
R,89.63,0.55,29.98,56.26,98.97,56.22,116.17,N
R,0,0,0,0,0,0,0,Y
R,133.38,111.89,150.63,115.18,160.38,119.42,93.04,N
R,43.44,61.3,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0.76,0.43,15,0,0.81,2.2,N
R,0,0,0,0,0,0,0,Y
R,0,2.58,0,0,0,0,45.89,N
R,21.77,7.5,15,0,11.3,56.22,3.75,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,28.1,14.99,0,0,0,0,0,N
R,0,1.19,0.37,0,0.04,0,0.15,N
R,0,1.5,0,0,0,0,0,N
R,1330.75,0,6708.25,241.78,3113.57,2373.05,965.6,N
R,0,0,0,0,0,0,0,Y
PF,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,3.75,3.75,11.25,11.25,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,85.41,210.05,1363.54,514.87,231.96,0,N
F,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,14.99,362.44,156,164.44,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
