S,D1,D2,D3,D4,D5,D6,D7,C
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,230.27,0,51.83,0,0,0,N
F,1.5,1.5,0.76,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,180.41,0,0,115.25,490.42,947.95,998.5,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,1.37,0,0,0,0,0,0,N
F,23.9,24.43,8.35,22.9,11.58,10.65,18.96,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,13.47,0,0,1.69,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,75.85,77.88,34.48,5.37,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,98.2,40.85,29.35,4.51,49.1,0,19.31,N
F,0,0,0,0,0,0,0,Y
F,37.7,0,60.38,17.37,146.85,18.01,22.72,N
F,117.89,90.72,97.41,91.84,0,0,12.74,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,6.06,3.93,4.68,7.28,0,8.03,30.37,N
F,0,0,0,18.15,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0.76,0,0,0,0,0,N
F,0,200.6,0,200.6,0,0,0,N
F,0,0,0,0,1.83,0,0,N
F,27.19,20.87,4.13,0.6,1.11,0,0.04,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,2.31,0,0,0,0,0,N
F,0.1,0,0,1.61,7.3,3.25,0,N
F,18.31,48.53,0,0,0,0,0,N
F,0,0,314.7,454.5,0,0,32.64,N
F,0,0,0,0,0,0,0,Y
F,14.99,254.76,0,209.8,359.66,224.79,104.9,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,13.31,4.93,3.19,N
F,16.58,394.86,420.24,536.92,579.71,571.14,397.28,N
F,0,0,3.28,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,65.37,0,0,0,N
F,0,0,8176.64,16893.07,0,0,0,N
F,167.43,67.02,0,13.42,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,2,0,1.37,0,3.66,0.7,0,N
F,10928.61,13455.82,32607.72,0,0,53.1,82.6,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,3.75,0,0,11.24,15,7.49,3.75,N
F,0.43,0.42,0.26,0.48,0.07,0.82,1.42,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,25.04,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0.54,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,89.43,49.49,42.08,37.22,140.68,33.34,1.6,N
F,222.02,0,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,12.65,0.75,0.43,0,0,0,0.18,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,1.44,0,0,0,N
F,6.75,0,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,3.75,7.5,3.75,0,14.99,N
F,20.61,0.02,0,0,0,13.86,3.16,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,74.93,N
F,0,0.44,0,0,0,0,0,N
F,10.28,62.62,164.42,149.16,334.09,129.42,0,N
F,5.86,0.25,4.58,1.16,0.32,0,2.96,N
F,6.97,2.28,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,272.56,22.5,328.09,101.19,105.24,222.85,N
F,0,0,0,0,0,0,0,Y
F,0,18.41,0.07,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,22.47,18.74,6.2,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,3,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,24.27,6.27,4.52,0,0,53.01,120.54,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,143.13,54.75,29.17,33.03,6.96,0,36.73,N
F,0,0,0,0,0,0,0,Y
F,50.14,6.41,10.57,24.54,6.43,1.27,0,N
F,0,0,0,0,0,0,0,Y
F,0,1.14,6.3,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,12.13,0,338.5,0,0,N
F,0,8.31,6.21,0,0,0,0,N
F,0,0,0,7.49,3.75,0,11.24,N
F,0,0,0,0,0,0,0,Y
F,0,308.19,51.46,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,21.62,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,48.85,331.47,71.95,0,10.86,0,4.03,N
F,0,0,0,0,0,0,0,Y
F,0,19.31,0,52.78,9.05,3.66,27.59,N
F,0,1.58,0,0.62,0,0,0,N
F,78.92,4.53,27.32,4.5,7.53,19.52,60.03,N
F,0,0,0,0,0,0,0,Y
F,0,1.88,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,1.5,0,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,7.5,0,3.75,0,18.59,0,6.56,N
F,15.82,1.65,4.94,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,3,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0.35,11.36,43.02,0,1.18,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,3.1,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,105.71,84.75,34,2.41,0,0,0,N
F,863.77,687.58,152.85,0,0,0,0,N
F,39.01,45.06,0,0,0.82,46.51,0,N
F,14.55,0.5,1.05,0,0,0.67,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,1.5,0,0,0,0,14.99,N
F,0,0,0,0,0,0,0,Y
F,145.4,57.41,41.67,376.46,167.14,47.06,0,N
F,0,0,0,0,0,0,0,Y
F,165.06,120.89,54.6,3.12,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,6.11,0,0,0,0,0,0,N
F,7.47,6.75,0,0,0,0,12.87,N
F,0,0,0,0,0,0,0,Y
F,12.78,5.28,0,0,0,0,0,N
F,0,0,0,0,0,60.88,113.63,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,1.73,64.34,2.88,14.45,2.78,6.56,17.76,N
F,0,178,144.7,0,0,0,0,N
F,0,7.49,0,0,0,7.49,0,N
F,0,561.03,670.95,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,42.72,104.9,179.84,159.63,0,0,74.93,N
F,38.16,41.93,44.96,7.66,0.73,0.05,0.5,N
F,0,0,0,0.05,0,0,0,N
F,174.8,0,0,0,1.7,2.74,0,N
F,0.15,0,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,8.01,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,6.61,23.18,0,0,2.08,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,22.59,14.01,3.19,15.79,30.53,2.75,N
F,0,0,0,0,0,0,0,Y
F,0.91,0,0,0,0.48,0,0,N
F,0,0,0,0,0,0,0,Y
F,120.04,55.89,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,1.42,0,0,N
F,0,0,0,200.6,202.19,200.6,401.2,N
F,7.5,11.24,29.97,14.98,44.96,22.48,82.43,N
F,22.48,0,123.23,0,0,0,0,N
F,0,0,945.89,140.05,276.5,37.23,0,N
F,0,0,0,0,0,0,0,Y
F,13.5,0.04,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0.3,0.09,0,0,0,0,N
F,0,18.46,0,0,0,0,0,N
F,0.65,6.69,0,0,47.41,29.43,27.8,N
F,0,3.75,0,0,0,0,0,N
F,1.41,1.22,0,0,0,0,196.93,N
F,7.49,31.48,0,0,0,0,0,N
F,101.17,187.98,121.46,205.02,85.61,4.27,56.63,N
F,202.37,254.79,0,48.72,140.14,0,0,N
F,0,0,0,0,0,0,0,Y
F,29.87,0,0,0,0,0,0,N
F,32.96,44.92,0,10.44,1.27,17.5,4.45,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,2.3,2.55,0.09,0,0,8.32,0.94,N
F,0,0,0,0,0,0,0,Y
F,0.11,0,1,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,2.26,4.5,4.5,10.54,1.5,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,54.69,0.65,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,357.28,2.26,0,0,0,0,0,N
F,7.99,1.33,0,0,0,5.7,1.21,N
F,119.42,12.9,0,0,0,0.57,0,N
F,18.75,26.22,14.99,7.49,0,3.75,7.49,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,4.87,0,3.75,N
F,0,24.82,2.97,10.81,0,4.25,0,N
F,2.76,40.31,22.01,135.34,97.5,0,0,N
F,0,0,0,0,0,0,0,Y
F,3.04,3.76,1.52,0.35,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,106.96,206.36,205.55,139.63,5.14,124.42,103.74,N
F,1.36,1.18,1.11,4.92,0,0,0,N
F,10.33,0,8.74,0,20.93,0,0,N
F,0,0,0,0,0,0,0,Y
F,1.52,3.04,2.28,0.76,0,0,0,N
F,395.39,100.53,70.5,102.31,235.95,80.06,142.13,N
F,0,0,0,75.69,59.95,29.98,121.42,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,1.36,27.14,1.17,18.14,4.53,0,0.23,N
F,3.93,0.89,5.37,0,35.34,0,0,N
F,40,137.17,124.27,7.73,0,0,0,N
F,4.48,0.55,15.96,16.56,33.99,22.5,0.58,N
F,2.02,0,0,0,0,0,0,N
F,0,0,0,0,0,0,9.76,N
F,0.56,27.08,3.75,0,0,0,0,N
F,6.43,16.9,110.93,45.71,10.56,10.52,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,78.03,0,0,0,0,0,0,N
F,0,0,3,0,0,0,0,N
F,0,35.4,35.4,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,29.98,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,5.64,2.39,13.3,45.3,2.91,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,24,0,0,0,N
F,0,7.49,14.99,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,11.09,14.52,2.55,0,0.91,0,0,N
F,41.37,15,7.5,0,0,0,0,N
F,11.25,31.48,0,0,2.26,0,0,N
F,5.37,0.3,1.98,20.25,51.08,0,0,N
F,1.52,0,0.76,1.5,22.5,11.25,34.47,N
F,0,0,0,0,0,0,0,Y
F,24.98,1.02,0,0,0,0,0,N
F,0,0.76,5.75,8.05,0,3.66,6.25,N
F,10.62,4.37,0.68,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,79.5,85.49,78.74,90.75,10.87,99.51,127.41,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,3.8,0,0,0,N
F,3.75,0,0,0,0,0,0,N
F,18.75,81,51.75,22.5,22.5,0,0,N
F,45.81,74.28,27.92,17,2.68,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,22.5,0,11.25,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,37.46,29.97,0,0,0,0,N
F,0,5.08,6.35,0,0,4.62,0,N
F,0,0,0,0,0,0,0,Y
F,7.49,3.75,3.75,0,0,0,0,N
F,108.76,0,0.76,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,4.26,N
F,0,0,0,0,0,0,0,Y
F,104.75,8.54,36.52,3.75,0,0,0,N
F,7.53,3.8,59.45,65.27,68.99,16.5,0.76,N
F,0,4.59,2.28,14.21,18.76,15.07,24,N
F,26.78,3.75,0,0,0,0,0,N
F,0.71,5.81,27.3,6,5.26,2.03,1.74,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,60.38,102.08,81.54,23.16,3.19,0,0,N
F,3.93,2.28,0.26,2.06,1.49,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0.68,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,1.91,0.09,0,0.83,0.26,0.53,0,N
F,0,0,12.34,0,0,0,0,N
F,141.85,14,17.98,2.1,41.79,1.38,0,N
F,0,0,0.44,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,74.95,8.25,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,3.75,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,2.89,0,0,0,0,0,0,N
F,22.89,0.59,0,0,0,0,0,N
F,7.65,10.89,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,7.49,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,125.8,0,0,540.72,827.28,3.75,N
F,3.81,19.45,2.7,1.27,21.79,2.18,16.8,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,163.44,15.51,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0.19,0,0,N
F,5.5,0.24,0.51,3.32,4.73,2.9,2.62,N
F,15.41,0,0,0,0,53.81,28.11,N
F,18.75,23.84,0,0,0,0,0,N
F,1.71,6.8,0,0,0,0,0,N
F,0,22.49,5.25,0,0,0,0,N
F,1.5,1.52,13.51,25.5,2.26,1.52,28.51,N
F,8.18,0,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,1.91,0,0.48,0.5,0.45,1.02,0,N
F,0,0,7.49,0,0,0,0,N
F,5.12,0,0,0,6.96,7.18,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,116.15,101.17,142.4,82.44,44.97,0,0,N
F,0,0,0,0,0,0,0,Y
F,431.92,226.71,333.41,381.3,405.22,347.73,84.27,N
F,0,10.07,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,7.48,20.55,13.25,13.52,2.97,68.93,30.93,N
F,0.04,0,0,0,2.88,0,0,N
F,40.75,1.77,1.84,17.19,0,160.29,22.73,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,78.6,105.5,52.46,119.89,N
F,0,0,0,25.12,50.42,0,0,N
F,0,63.06,10.5,101.04,0.44,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,24.68,0,3.62,0.15,0,14.01,7.91,N
F,6.95,64.48,2.63,4.52,7.52,7.82,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,29.96,7.49,7.49,0,22.47,112.42,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,2.83,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,14.01,11.92,3.51,0,0,0,0,N
F,44.05,2.56,0.95,40.85,55.22,1.04,0.07,N
F,0,0,0,0,0,0,0,Y
F,7.69,41.4,25.03,14.27,0,0,11.15,N
F,0,0,0,0,15.26,2.04,0.97,N
F,0,0,0,0,0,0,0,Y
F,0,0.71,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,200.6,476.02,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,67.74,0,7.33,2.98,2.59,0,1.29,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,10.64,9.88,4.56,6.84,9.88,0,8.36,N
F,113.34,45.7,1.5,6.75,10.51,28.47,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0.43,0,0,0,0.83,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,7.49,0,N
F,0,0,0,0,0,0,0,Y
F,7.63,3.57,31.46,41.92,43.29,19.2,0,N
F,37.24,4.4,5.16,0.11,3.19,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,9.16,6.76,0.25,0,0,0,N
F,0,10.36,0,0,0,0,0,N
F,23.99,44.93,177.46,16.95,231.65,79.95,17.02,N
F,17.41,0,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,44.58,19.97,0.57,0,39.79,66.74,10.49,N
F,0,0,0,0,0,0,0,Y
F,15.51,0,0,0,0,0,0,N
F,32.84,12.39,0,0,0,0,0,N
F,2.13,41.2,7.36,5.64,0,18.88,0,N
F,0,0,20.41,18.87,14.34,4.52,30.01,N
F,53.71,7.69,0,0,0,0,0,N
F,2.1,11.5,2.92,0.79,0,173.49,0.45,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,23.6,0,0,23.6,11.24,0,N
F,9.78,14.55,2.8,8.81,5.07,6,13.85,N
F,0,0,0,15.85,0,44.96,0,N
F,157.44,0,0,0,0,0,4.26,N
F,36.87,0,0,0,0,0,0,N
F,88.4,18.43,110.7,39.19,3.11,63.56,68.05,N
F,1.5,357.84,142.05,34.5,16.49,10.57,15.05,N
F,456.46,83.05,52.64,28.99,78.54,4.45,3.93,N
F,0,0,0,0,0,0,0,Y
F,5.61,1.48,2.09,38.85,30.8,44.57,8.82,N
F,465.5,217.58,0,0,0,0,39.06,N
F,0,0,0,0,0,3.75,0,N
F,3.75,3.75,0,0,0,0,0,N
F,24.7,0,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,9.03,0,0,0,0,0,0,N
F,0,0,1.81,0,0,0,0,N
F,14.99,9.23,0,0,300.48,476.13,200.6,N
F,12.4,35.77,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,6.48,0,0,0,0,0,N
F,31.17,0,3.75,4.5,2.26,5.26,0,N
F,147.62,36.97,0,11.31,0,13.12,0,N
F,0,0,0,0,0,0,0,Y
F,18.82,8.26,3,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,15.61,9.64,1.35,0.09,0.36,0.39,0.27,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,1354.46,0,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,26.26,14.15,94.7,3.75,15.98,0,9.4,N
F,0,11.25,0,0,0,21.52,0,N
F,3.75,11.3,0,3.8,0,0,7.5,N
F,5.76,1.38,17.22,24.07,35.51,49.61,7.55,N
F,5.62,30.29,9.7,0,0,1.04,0,N
F,38.94,7.84,0,1.5,0.96,0,0,N
F,9.97,0,0,0,0,0,0,N
F,104.59,6.28,50.81,23,4.05,72.64,284.28,N
F,3.46,1.13,4.51,4.9,3.74,9.82,0.41,N
F,26.22,0,0,0,0,0,0,N
F,4.15,1.48,0.28,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,51.55,3.55,4.67,0,0.47,0.68,0,N
F,13.63,0,0,0,0,0,0,N
F,12.58,1.94,22.49,49.25,14.45,0,0,N
F,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,54.24,2.78,0,0,0.53,0,0,N
F,0,0,0,0,0,0,0,Y
F,179.84,0,0,0,29.98,0,0,N
F,3.75,0,0,0,15,56.25,45,N
F,22.83,0,1.99,1.2,0,0,0,N
R,10125,0,14383,1611,11382,16367,82843,N
R,84792,75140,12160,0,26237,63780,103564,N
R,30847,254,2887,13199,10360,0,3499,N
R,11514,2780,3339,7466,18975,15402,146,N
R,0,0,10225,3804,0,0,18184,N
R,0,0,483,0,889,9272,21371,N
R,27085,15648,10251,13422,13111,17233,14119,N
R,283,2443,318,425,9048,1423,6250,N
R,5770,7247,19778,401,8993,0,13379,N
R,5785,16564,15932,11500,12565,16976,18429,N
R,23342,50649,53898,23812,50433,34877,48525,N
R,15,0,2,409,0,1972,9735,N
R,13265,27265,16798,14785,10529,8052,10268,N
R,3708,16085,10427,15608,8397,13917,9871,N
PF,27488,11854,11465,2451,21673,3397,22917,N
R,9073,3544,15,8438,7532,5099,1538,N
R,0,20059,19985,32596,43878,47545,116983,N
R,0,981,13763,6329,11685,23646,0,N
R,14584,4236,2298,3257,9728,9416,873,N
R,1820,23010,4093,21994,17080,16754,140,N
R,0,37,4,18281,0,16948,32565,N
R,10299,5444,11087,1628,16144,20637,13567,N
R,0,0,0,0,0,0,2,N
R,0,0,0,0,0,0,1646,N
R,771,3694,3077,127,0,6186,6971,N
R,24947,7840,14128,7519,20928,0,7265,N
R,0,213,0,6,0,0,0,N
R,17317,16673,11214,11511,12284,6909,19718,N
R,0,0,201,1961,0,0,0,N
R,8732,594,30,8270,754,102,3700,N
R,9281,2264,923,23550,6913,21801,19345,N
R,4394,10359,7858,15796,37818,15109,15778,N
R,0,4058,13285,5238,0,0,0,N
R,0,0,2017,0,0,0,10467,N
R,2549,2485,5971,7390,9654,4595,5915,N
R,0,0,0,257,53,0,2753,N
R,1084,345,1146,0,1870,1770,1901,N
R,9474,3075,7116,6957,448,8811,9091,N
R,12202,1042,0,1271,6338,9364,3645,N
R,516,201,424,417,372,2724,170,N
R,10,2330,474,831,0,0,0,N
R,7127,15306,4783,6262,3229,3515,3485,N
R,6942,4029,3978,7132,0,1617,8863,N
R,7446,13501,13426,17843,7807,28839,10953,N
R,0,0,65,760,150,0,8599,N
R,4041,0,0,122,0,9699,904,N
R,12875,11233,576,0,0,1480,4456,N
R,8253,7252,9649,8174,2,0,3745,N
R,822,3183,9392,9,158,807,3688,N
R,2345,19229,4129,2838,24544,0,1580,N
R,2481,5753,239,7376,6887,537,1075,N
R,17815,0,0,0,60316,29425,18477,N
R,12356,0,90,4318,12924,4428,5,N
R,345,3968,2956,1834,4913,3562,869,N
R,8041,1612,3451,4782,4340,3104,4053,N
R,0,371,262,2735,3254,1334,5549,N
R,409,349,3682,1027,1157,176,134,N
R,4312,0,30,164,49,5264,4237,N
R,574,4703,2337,0,0,8,1777,N
R,5565,972,0,0,229,237,0,N
R,327,0,284,28,0,0,0,N
R,99,2847,2784,3203,3624,8954,3775,N
R,4812,1624,5198,4645,8999,4513,11994,N
R,10767,9399,6970,798,0,1469,8840,N
R,0,2,0,2562,1074,1567,1594,N
R,380,1565,83,1362,7786,353,5255,N
R,11127,9403,11286,6919,4655,4359,7382,N
R,122,1825,4223,123,320,0,0,N
R,0,0,0,6603,321,0,8157,N
R,539,431,448,0,0,0,0,N
R,0,0,614,5523,496,10,2118,N
R,0,0,153,7115,11909,239,6335,N
R,10625,386,4897,804,6805,10,2780,N
R,2808,5015,4012,4614,5817,4213,3410,N
R,9914,12713,18812,10254,20891,47001,19466,N
PF,0,0,0,0,3828,863,1003,N
R,1703,14,0,2146,180,0,5546,N
R,1645,2720,5304,3648,1775,2503,1660,N
R,4450,0,3103,2327,0,0,0,N
F,0,0,0,802,5917,24373,201,N
R,0,7402,8220,12357,1830,3093,6142,N
R,0,4572,0,5356,3957,0,0,N
R,4201,3633,12831,5284,6261,6333,4624,N
R,0,0,0,0,0,7547,4264,N
R,1335,332,0,238,0,0,0,N
R,1327,1933,1121,3706,1522,534,1879,N
R,199,6223,7828,5632,12943,457,153,N
R,23916,782,0,159,188,0,5028,N
PF,6,1928,5,0,6810,356,1897,N
R,0,710,142,0,0,0,887,N
R,0,0,1263,9534,53481,36728,21246,N
R,0,3142,5673,12503,5288,3260,5366,N
R,1321,0,0,1475,999,726,846,N
R,11185,7038,822,865,35,65,0,N
R,3967,4775,0,1129,1609,3084,1538,N
R,0,2564,2640,2339,0,4195,4686,N
R,1142,4677,0,0,1933,10626,0,N
PF,1239,1605,306,536,1955,6620,2325,N
R,5740,7751,3284,5843,6929,3260,2656,N
R,3444,9251,5287,5666,4918,2036,2325,N
R,0,0,1757,444,0,10130,16801,N
R,1331,0,6708,242,3114,2373,966,N
R,1702,1007,1807,3551,2753,24,6205,N
R,3900,39,7,40619,27128,4873,14616,N
R,1700,4047,2264,3734,5798,4437,3434,N
R,0,0,0,0,56,673,3994,N
R,12837,341,53,4303,2367,3029,3848,N
R,303,30,0,506,629,1,48,N
R,1124,1972,9848,11363,6894,8139,2255,N
R,1250,1120,1887,3507,492,286,1925,N
R,224,23,330,0,962,6,962,N
R,738,4246,3393,356,4,611,4154,N
R,0,0,0,1979,0,0,1418,N
R,3349,0,12120,0,77,2158,0,N
R,5109,0,0,0,9,0,0,N
R,0,0,0,16714,22113,1610,0,N
R,3216,2363,2783,1973,937,0,1181,N
R,1624,2484,8779,92229,8231,1770,0,N
R,503,4935,1254,914,2335,8620,6193,N
R,0,1158,2967,19,0,28,49,N
R,2549,1769,0,3174,2411,2315,3652,N
R,11276,2382,11053,6402,6890,3733,1795,N
R,0,0,15359,1180,13386,3155,1599,N
R,7209,990,0,466,4823,5796,2308,N
R,4676,1920,1086,4396,4946,0,0,N
R,78,1006,1593,948,722,377,3377,N
R,740,644,168,1889,2387,2920,6409,N
R,487,45,689,2018,1876,2254,1628,N
R,3,0,5465,4414,6003,1804,1980,N
PF,167,67,0,13,0,0,0,N
R,0,16278,3772,0,0,0,39,N
R,0,0,4053,0,17469,2780,6363,N
R,4709,3067,57,2305,2701,3262,1555,N
R,1038,207,934,552,1540,561,1719,N
R,3529,0,0,0,0,0,0,N
R,942,2089,385,2342,2653,2111,1378,N
R,2835,8064,18409,13169,57,0,0,N
F,0,0,123,195,1508,974,1238,N
R,0,0,0,0,0,0,1059,N
R,27501,20696,0,0,2014,14464,5949,N
F,0,0,0,0,0,0,2691,N
R,38,173,400,203,151,140,612,N
R,1956,1284,2672,2125,1115,1081,1924,N
PF,29,3,1496,483,1424,1313,1845,N
